rewards,mi-tet,expr,grad_norm,entropy,first_batch_actions,first_batch_returns
47.0,,,,,0,-0.20421311
14.0,,,,,0,-0.25774625
30.0,,,,,1,-0.311333
50.0,,,,,1,-0.36497337
19.0,,,,,0,-0.41866744
12.0,,,,,1,-0.47241527
16.0,,,,,0,-0.52621686
10.0,,,,,1,-0.58007234
16.0,,,,,1,-0.63398176
52.0,,,,,1,-0.6879451
11.0,,,,,1,-0.7419625
58.0,,,,,0,-0.7960339
28.0,,,,,1,-0.85015947
64.0,,,,,1,-0.9043392
22.0,,,,,1,-0.9585732
21.0,,,,,1,-1.0128615
14.0,,,,,1,-1.0672041
17.0,,,,,1,-1.1216011
21.0,,,,,1,-1.1760526
22.0,,,,,0,-1.2305585
25.0,,,,,0,-1.285119
29.0,,,,,1,-1.3397342
,,,,,1,-1.3944039
,,,,,1,-1.4491285
,,,,,0,-1.5039078
,,,,,1,-1.5587419
,,,,,0,-1.613631
,,,,,0,-1.6685749
,,,,,0,-1.7235739
,,,,,1,1.6339871
,,,,,1,1.442778
,,,,,0,1.2513775
,,,,,0,1.0597854
,,,,,0,0.8680014
,,,,,1,0.6760255
,,,,,1,0.48385748
,,,,,0,0.29149705
,,,,,1,0.0989441
,,,,,1,-0.09380162
,,,,,1,-0.28674027
,,,,,1,-0.47987205
,,,,,1,-0.67319715
,,,,,0,-0.8667158
,,,,,0,-1.0604281
,,,,,1,-1.2543343
,,,,,1,-1.4484347
,,,,,0,-1.6427294
,,,,,1,1.6657944
,,,,,0,1.5478783
,,,,,0,1.4298441
,,,,,1,1.3116919
,,,,,1,1.1934214
,,,,,0,1.0750325
,,,,,0,0.9565251
,,,,,0,0.8378991
,,,,,1,0.7191543
,,,,,1,0.60029066
,,,,,0,0.48130804
,,,,,1,0.3622063
,,,,,0,0.24298535
,,,,,1,0.12364507
,,,,,0,0.00418532
,,,,,1,-0.11539401
,,,,,1,-0.23509303
,,,,,1,-0.3549119
,,,,,1,-0.47485065
,,,,,0,-0.5949095
,,,,,0,-0.71508855
,,,,,0,-0.8353878
,,,,,1,-0.95580757
,,,,,1,-1.0763478
,,,,,0,-1.1970088
,,,,,1,-1.3177905
,,,,,1,-1.4386932
,,,,,1,-1.5597168
,,,,,1,-1.6808616
